time,gsr,ecg,interval,label
16:41:12.110000,345,-7,0,присед
16:41:12.211000,345,-7,0,присед
16:41:12.311000,344,-7,0,присед
16:41:12.412000,343,-7,0,присед
16:41:12.502000,343,-7,0,присед
16:41:12.547000,343,-56,0,присед
16:41:12.548000,343,-27,0,присед
16:41:12.549000,343,-22,0,присед
16:41:12.550000,343,-69,0,присед
16:41:12.551000,343,-106,0,присед
16:41:12.552000,343,-111,0,присед
16:41:12.553000,343,-128,0,присед
16:41:12.554000,343,-143,0,присед
16:41:12.555000,343,-128,0,присед
16:41:12.556000,343,-128,0,присед
16:41:12.557000,343,-143,0,присед
16:41:12.557000,343,-126,0,присед
16:41:12.559000,343,-103,0,присед
16:41:12.560000,343,-103,0,присед
16:41:12.561000,343,-118,0,присед
16:41:12.562000,343,-155,0,присед
16:41:12.564000,343,-170,0,присед
16:41:12.565000,343,-133,0,присед
16:41:12.566000,343,-141,0,присед
16:41:12.575000,343,-185,0,присед
16:41:12.576000,343,-185,0,присед
16:41:12.577000,343,-155,0,присед
16:41:12.578000,343,-148,0,присед
16:41:12.579000,343,-180,0,присед
16:41:12.580000,343,-244,0,присед
16:41:12.581000,343,-472,0,присед
16:41:12.581000,343,-781,0,присед
16:41:12.582000,343,-781,0,присед
16:41:12.583000,343,-638,0,присед
16:41:12.584000,343,-660,0,присед
16:41:12.585000,343,-665,0,присед
16:41:12.585000,343,-591,0,присед
16:41:12.586000,343,-571,0,присед
16:41:12.587000,343,-578,0,присед
16:41:12.588000,343,-549,0,присед
16:41:12.589000,343,-526,0,присед
16:41:12.590000,343,-522,0,присед
16:41:12.591000,343,-497,0,присед
16:41:12.592000,343,-460,0,присед
16:41:12.593000,343,-385,0,присед
16:41:12.594000,343,-118,0,присед
16:41:12.595000,343,210,0,присед
16:41:12.596000,343,230,0,присед
16:41:12.597000,343,103,0,присед
16:41:12.598000,343,128,0,присед
16:41:12.599000,343,155,0,присед
16:41:12.600000,343,111,0,присед
16:41:12.601000,343,101,0,присед
16:41:12.601000,343,108,0,присед
16:41:12.603000,343,74,0,присед
16:41:12.603000,343,-9,0,присед
16:41:12.604000,343,-47,0,присед
16:41:12.605000,343,153,0,присед
16:41:12.606000,343,638,0,присед
16:41:12.607000,343,1076,0,присед
16:41:12.608000,343,992,0,присед
16:41:12.609000,343,442,0,присед
16:41:12.610000,343,61,0,присед
16:41:12.611000,343,59,0,присед
16:41:12.612000,343,49,0,присед
16:41:12.613000,343,-37,0,присед
16:41:12.614000,343,-34,0,присед
16:41:12.615000,343,-27,0,присед
16:41:12.615000,343,-71,0,присед
16:41:12.616000,343,-79,0,присед
16:41:12.617000,343,-54,0,присед
16:41:12.618000,343,-51,0,присед
16:41:12.620000,343,-56,0,присед
16:41:12.621000,343,-66,0,присед
16:41:12.622000,343,-74,0,присед
16:41:12.623000,343,-64,0,присед
16:41:12.624000,343,-56,0,присед
16:41:12.624000,343,-34,0,присед
16:41:12.626000,343,-34,0,присед
16:41:12.703000,342,-34,0,присед
16:41:12.821000,342,-34,0,присед
16:41:12.896000,343,-34,0,присед
16:41:12.997000,344,-34,0,присед
16:41:13.086000,344,39,0,присед
16:41:13.087000,344,89,0,присед
16:41:13.088000,344,103,0,присед
16:41:13.089000,344,136,0,присед
16:41:13.090000,344,123,0,присед
16:41:13.091000,344,39,0,присед
16:41:13.092000,344,-7,0,присед
16:41:13.093000,344,61,0,присед
16:41:13.094000,344,84,0,присед
16:41:13.095000,344,-24,0,присед
16:41:13.096000,344,2,0,присед
16:41:13.097000,344,103,0,присед
16:41:13.098000,344,17,0,присед
16:41:13.098000,344,-14,0,присед
16:41:13.099000,344,69,0,присед
16:41:13.100000,344,39,0,присед
16:41:13.101000,344,4,0,присед
16:41:13.101000,344,14,0,присед
16:41:13.102000,344,-42,0,присед
16:41:13.103000,344,-91,0,присед
16:41:13.104000,344,-81,0,присед
16:41:13.104000,344,-79,0,присед
16:41:13.105000,344,-84,0,присед
16:41:13.106000,344,-74,0,присед
16:41:13.107000,344,-103,0,присед
16:41:13.108000,344,-356,0,присед
16:41:13.109000,344,-714,0,присед
16:41:13.110000,344,-697,0,присед
16:41:13.111000,344,-452,0,присед
16:41:13.112000,344,-420,0,присед
16:41:13.112000,344,-432,0,присед
16:41:13.113000,344,-351,0,присед
16:41:13.114000,344,-321,0,присед
16:41:13.115000,344,-336,0,присед
16:41:13.116000,344,-316,0,присед
16:41:13.116000,344,-306,0,присед
16:41:13.117000,344,-329,0,присед
16:41:13.118000,344,-333,0,присед
16:41:13.119000,344,-314,0,присед
16:41:13.119000,344,-291,0,присед
16:41:13.120000,344,-326,0,присед
16:41:13.121000,344,-430,0,присед
16:41:13.122000,344,-452,0,присед
16:41:13.123000,344,-383,0,присед
16:41:13.124000,344,-383,0,присед
16:41:13.125000,344,-415,0,присед
16:41:13.126000,344,-351,0,присед
16:41:13.127000,344,-121,0,присед
16:41:13.128000,344,222,0,присед
16:41:13.129000,344,329,0,присед
16:41:13.130000,344,173,0,присед
16:41:13.130000,344,101,0,присед
16:41:13.131000,344,-27,0,присед
16:41:13.132000,344,-333,0,присед
16:41:13.133000,344,-235,0,присед
16:41:13.134000,344,259,0,присед
16:41:13.135000,344,358,0,присед
16:41:13.136000,344,192,0,присед
16:41:13.137000,344,225,0,присед
16:41:13.137000,344,286,0,присед
16:41:13.138000,344,316,0,присед
16:41:13.139000,344,301,0,присед
16:41:13.140000,344,136,0,присед
16:41:13.141000,344,2,0,присед
16:41:13.143000,344,163,0,присед
16:41:13.144000,344,388,0,присед
16:41:13.145000,344,257,0,присед
16:41:13.146000,344,-128,0,присед
16:41:13.147000,344,-378,0,присед
16:41:13.148000,344,-408,0,присед
16:41:13.149000,344,-321,0,присед
16:41:13.149000,344,17,0,присед
16:41:13.150000,344,544,0,присед
16:41:13.152000,344,544,0,присед
16:41:13.212000,344,544,0,присед
16:41:13.312000,344,544,0,присед
16:41:13.411000,344,544,0,присед
16:41:13.556000,344,544,0,присед
16:41:13.607000,344,544,0,присед
16:41:13.626000,344,737,0,присед
16:41:13.627000,344,358,0,присед
16:41:13.628000,344,-148,0,присед
16:41:13.630000,344,-279,0,присед
16:41:13.630000,344,-232,0,присед
16:41:13.631000,344,-291,0,присед
16:41:13.632000,344,-319,0,присед
16:41:13.633000,344,-274,0,присед
16:41:13.634000,344,-274,0,присед
16:41:13.634000,344,-284,0,присед
16:41:13.635000,344,-262,0,присед
16:41:13.636000,344,-249,0,присед
16:41:13.637000,344,-254,0,присед
16:41:13.638000,344,-247,0,присед
16:41:13.638000,344,-235,0,присед
16:41:13.639000,344,-225,0,присед
16:41:13.640000,344,-212,0,присед
16:41:13.641000,344,-205,0,присед
16:41:13.642000,344,-205,0,присед
16:41:13.643000,344,-192,0,присед
16:41:13.645000,344,-183,0,присед
16:41:13.646000,344,-180,0,присед
16:41:13.647000,344,-170,0,присед
16:41:13.648000,344,-145,0,присед
16:41:13.648000,344,-103,0,присед
16:41:13.649000,344,-44,0,присед
16:41:13.650000,344,86,0,присед
16:41:13.650000,344,299,0,присед
16:41:13.651000,344,418,0,присед
16:41:13.652000,344,371,0,присед
16:41:13.653000,344,343,0,присед
16:41:13.654000,344,368,0,присед
16:41:13.654000,344,341,0,присед
16:41:13.655000,344,291,0,присед
16:41:13.656000,344,259,0,присед
16:41:13.657000,344,217,0,присед
16:41:13.657000,344,173,0,присед
16:41:13.658000,344,150,0,присед
16:41:13.659000,344,145,0,присед
16:41:13.660000,344,150,0,присед
16:41:13.661000,344,138,0,присед
16:41:13.662000,344,91,0,присед
16:41:13.662000,344,51,0,присед
16:41:13.663000,344,54,0,присед
16:41:13.664000,344,66,0,присед
16:41:13.665000,344,51,0,присед
16:41:13.665000,344,69,0,присед
16:41:13.666000,344,94,0,присед
16:41:13.667000,344,94,0,присед
16:41:13.668000,344,178,0,присед
16:41:13.669000,344,274,0,присед
16:41:13.669000,344,222,0,присед
16:41:13.670000,344,153,0,присед
16:41:13.671000,344,220,0,присед
16:41:13.672000,344,257,0,присед
16:41:13.673000,344,188,0,присед
16:41:13.673000,344,190,0,присед
16:41:13.674000,344,249,0,присед
16:41:13.675000,344,242,0,присед
16:41:13.676000,344,210,0,присед
16:41:13.677000,344,259,0,присед
16:41:13.678000,344,415,0,присед
16:41:13.678000,344,514,0,присед
16:41:13.679000,344,333,0,присед
16:41:13.680000,344,-17,0,присед
16:41:13.681000,344,-192,0,присед
16:41:13.682000,344,-54,0,присед
16:41:13.682000,344,19,0,присед
16:41:13.683000,344,-22,0,присед
16:41:13.684000,344,128,0,присед
16:41:13.684000,344,155,0,присед
16:41:13.685000,344,96,0,присед
16:41:13.686000,344,410,0,присед
16:41:13.706000,343,410,0,присед
16:41:13.805000,344,410,0,присед
16:41:13.923000,345,410,0,присед
16:41:13.998000,345,410,0,присед
16:41:14.098000,346,410,0,присед
16:41:14.198000,346,410,0,присед
16:41:14.210000,346,581,0,присед
16:41:14.211000,346,173,0,присед
16:41:14.212000,346,-205,0,присед
16:41:14.213000,346,-148,0,присед
16:41:14.215000,346,-76,0,присед
16:41:14.216000,346,-173,0,присед
16:41:14.216000,346,-220,0,присед
16:41:14.217000,346,-227,0,присед
16:41:14.218000,346,-180,0,присед
16:41:14.219000,346,-116,0,присед
16:41:14.220000,346,-47,0,присед
16:41:14.220000,346,143,0,присед
16:41:14.221000,346,423,0,присед
16:41:14.222000,346,749,0,присед
16:41:14.223000,346,873,0,присед
16:41:14.224000,346,420,0,присед
16:41:14.225000,346,-252,0,присед
16:41:14.226000,346,-393,0,присед
16:41:14.227000,346,-215,0,присед
16:41:14.228000,346,-269,0,присед
16:41:14.229000,346,-284,0,присед
16:41:14.229000,346,-158,0,присед
16:41:14.230000,346,-244,0,присед
16:41:14.231000,346,-254,0,присед
16:41:14.232000,346,-42,0,присед
16:41:14.233000,346,-215,0,присед
16:41:14.234000,346,-541,0,присед
16:41:14.234000,346,-442,0,присед
16:41:14.235000,346,-316,0,присед
16:41:14.236000,346,-200,0,присед
16:41:14.237000,346,163,0,присед
16:41:14.238000,346,101,0,присед
16:41:14.239000,346,-457,0,присед
16:41:14.240000,346,-539,0,присед
